Algorithm,Dataset,TS_Length,Test_Samples,Platform,Config,Accuracy_Pct,Throughput_InfPerSec,Latency_ms,Source
MiniRocket,InsectSound,600,25000,CPU (aeon/sklearn),single-thread,78.84,519.9,1.924,cpu/minirocket_cpu_insectsound.log
MiniRocket,FruitFlies,5000,17259,CPU (aeon/sklearn),single-thread,96.98,39.4,25.400,cpu/minirocket_cpu_fruitflies.log
MiniRocket,MosquitoSound,3750,139786,CPU (aeon/sklearn),single-thread,87.59,82.1,12.181,cpu/minirocket_cpu_mosquitosound.log
MiniRocket,InsectSound,600,25000,CPU (C++ -O3),per-sample,74.12,288.9,3.461,results/MiniRocket_CPU_cpp_InsectSound_per_sample.csv
MiniRocket,FruitFlies,5000,17259,CPU (C++ -O3),per-sample,95.83,258.2,3.874,results/MiniRocket_CPU_cpp_FruitFlies_per_sample.csv
MiniRocket,MosquitoSound,3750,6000,CPU (C++ -O3),per-sample,87.87,48.0,20.835,results/MiniRocket_CPU_cpp_MosquitoSound_per_sample.csv
MiniRocket,GunPoint,150,60,FPGA U280 (fused 1CU),300MHz batch,98.33,3797.1,0.263,minirocket_modular/fused_gunpoint_test.log
MiniRocket,InsectSound,600,25000,FPGA U280 (fused 1CU),300MHz batch,74.12,1966.8,0.509,minirocket_modular/fused_insectsound_test.log
MiniRocket,MosquitoSound,3750,6000,FPGA U280 (fused 1CU),300MHz batch,87.88,937.0,1.067,minirocket_modular/fused_mosquitosound_test.log
MiniRocket,FruitFlies,5000,17259,FPGA U280 (fused 1CU),300MHz batch,95.82,742.3,1.347,minirocket_modular/fused_fruitflies_test.log
MiniRocket,GunPoint,150,60,FPGA U280 (fused 2CU),300MHz batch,98.33,5999.1,0.167,minirocket_modular/fused_2cu_gunpoint_test.log
MiniRocket,InsectSound,600,25000,FPGA U280 (fused 2CU),300MHz batch,74.12,3191.1,0.313,minirocket_modular/fused_2cu_insectsound_test.log
MiniRocket,MosquitoSound,3750,6000,FPGA U280 (fused 2CU),300MHz batch,87.88,1496.9,0.668,minirocket_modular/fused_2cu_mosquitosound_test.log
MiniRocket,FruitFlies,5000,17259,FPGA U280 (fused 2CU),300MHz batch,95.82,1121.4,0.892,minirocket_modular/fused_2cu_fruitflies_test.log
MiniRocket,GunPoint,150,60,FPGA U280 (fused 3CU),269MHz batch,98.33,9585.0,0.104,minirocket_modular/fused_3cu_gunpoint_test.log
MiniRocket,InsectSound,600,25000,FPGA U280 (fused 3CU),269MHz batch,74.12,5012.0,0.200,minirocket_modular/fused_3cu_insectsound_test.log
MiniRocket,MosquitoSound,3750,6000,FPGA U280 (fused 3CU),269MHz batch,87.88,2820.0,0.355,minirocket_modular/fused_3cu_mosquitosound_test.log
MiniRocket,FruitFlies,5000,17259,FPGA U280 (fused 3CU),269MHz batch,95.82,2191.0,0.456,minirocket_modular/fused_3cu_fruitflies_test.log
MiniRocket,GunPoint,150,10,FPGA Streaming (csim),fused+bFP,100.00,N/A,N/A,csim temp0.log (10/10 correct)
HYDRA,InsectSound,600,1000,FPGA U280 (v2 1CU),ap_fixed UNROLL=16,71.00,6347.0,0.158,hydra_v2_insectsound_test.log
HYDRA,MosquitoSound,3750,1000,FPGA U280 (v2 1CU),ap_fixed UNROLL=16,72.80,1994.0,0.502,hydra_v2_mosquitosound_test.log
HYDRA,FruitFlies,5000,1000,FPGA U280 (v2 1CU),ap_fixed UNROLL=16,88.10,1561.0,0.641,hydra_v2_fruitflies_test.log
HYDRA,InsectSound,600,25000,CPU (custom_hydra),single-thread,TBD,91.5,10.924,hydra_optimized/models/cpu_benchmark_results.json
HYDRA,MosquitoSound,3750,139786,CPU (custom_hydra),single-thread,TBD,43.1,23.191,hydra_optimized/models/cpu_benchmark_results.json
HYDRA,FruitFlies,5000,17259,CPU (custom_hydra),single-thread,TBD,35.0,28.597,hydra_optimized/models/cpu_benchmark_results.json
