Algorithm,Variant,Dataset,Component,Mean_ms,P50_ms,P95_ms,P99_ms,Min_ms,Max_ms
MiniRocket,fused_1cu,GunPoint,H2D,0.059,0.050,0.103,0.107,0.025,0.110
MiniRocket,fused_1cu,GunPoint,K1_FeatureExt,0.145,0.143,0.148,0.195,0.141,0.240
MiniRocket,fused_1cu,GunPoint,K2_Scaler,0.030,0.029,0.037,0.045,0.027,0.050
MiniRocket,fused_1cu,GunPoint,K3_Classifier,0.067,0.055,0.061,0.339,0.053,0.711
MiniRocket,fused_1cu,GunPoint,D2H,0.066,0.051,0.122,0.165,0.027,0.208
MiniRocket,fused_1cu,GunPoint,Total,0.388,0.361,0.482,0.812,0.311,0.995
MiniRocket,fused_1cu,InsectSound,H2D,0.058,0.047,0.111,0.136,0.023,1.885
MiniRocket,fused_1cu,InsectSound,K1_FeatureExt,0.248,0.243,0.281,0.288,0.230,0.972
MiniRocket,fused_1cu,InsectSound,K2_Scaler,0.042,0.035,0.074,0.087,0.024,0.234
MiniRocket,fused_1cu,InsectSound,K3_Classifier,0.195,0.191,0.232,0.236,0.182,0.857
MiniRocket,fused_1cu,InsectSound,D2H,0.063,0.054,0.109,0.126,0.024,1.195
MiniRocket,fused_1cu,InsectSound,Total,0.630,0.619,0.763,0.823,0.504,2.515
MiniRocket,fused_1cu,MosquitoSound,H2D,0.069,0.059,0.119,0.139,0.025,2.596
MiniRocket,fused_1cu,MosquitoSound,K1_FeatureExt,0.853,0.837,0.908,0.947,0.815,1.613
MiniRocket,fused_1cu,MosquitoSound,K2_Scaler,0.043,0.037,0.075,0.082,0.024,0.114
MiniRocket,fused_1cu,MosquitoSound,K3_Classifier,0.140,0.132,0.167,0.172,0.117,0.231
MiniRocket,fused_1cu,MosquitoSound,D2H,0.079,0.073,0.119,0.143,0.028,0.166
MiniRocket,fused_1cu,MosquitoSound,Total,1.214,1.206,1.357,1.441,1.041,4.097
MiniRocket,fused_1cu,FruitFlies,H2D,0.071,0.067,0.114,0.136,0.027,1.682
MiniRocket,fused_1cu,FruitFlies,K1_FeatureExt,1.193,1.176,1.247,1.270,1.155,1.937
MiniRocket,fused_1cu,FruitFlies,K2_Scaler,0.044,0.037,0.074,0.081,0.023,0.123
MiniRocket,fused_1cu,FruitFlies,K3_Classifier,0.082,0.078,0.113,0.117,0.067,0.570
MiniRocket,fused_1cu,FruitFlies,D2H,0.072,0.068,0.120,0.128,0.023,0.777
MiniRocket,fused_1cu,FruitFlies,Total,1.491,1.488,1.607,1.655,1.311,3.156
MiniRocket,v16_fixed_1cu,GunPoint,H2D,0.054,0.055,0.070,0.080,0.040,0.081
MiniRocket,v16_fixed_1cu,GunPoint,K1_FeatureExt,1.837,1.832,1.873,1.912,1.797,1.951
MiniRocket,v16_fixed_1cu,GunPoint,K2_Scaler,0.044,0.038,0.063,0.074,0.027,0.078
MiniRocket,v16_fixed_1cu,GunPoint,K3_Classifier,0.056,0.056,0.061,0.062,0.054,0.063
MiniRocket,v16_fixed_1cu,GunPoint,D2H,0.079,0.075,0.125,0.135,0.038,0.140
MiniRocket,v16_fixed_1cu,GunPoint,Total,2.104,2.098,2.166,2.224,1.992,2.290
