Variant,Report_Type,LUT_Used,LUT_Avail,LUT_Pct,FF_Used,FF_Avail,FF_Pct,BRAM_Used,BRAM_Avail,BRAM_Pct,DSP_Used,DSP_Avail,DSP_Pct,URAM_Used,URAM_Avail,URAM_Pct,Source_File
fpga-network,hls_csynth,90217,1303680,6,119438,2607360,4,487,2016,12,518,9024,5,0,960,0,fpga-network/minirocket/build_synth/minirocket_inference_prj/solution1/syn/report/csynth.rpt
hydra_280mhz_fixed,hls_csynth,89414,1303680,6,147911,2607360,5,236,2016,5,1355,9024,15,0,960,0,hydra_optimized/_x.hw.280mhz_fixed/link/sys_link/iprepo/temp/xo0/hydra_inference/hls/hydra_inference/solution/syn/report/csynth.rpt
hydra_optimized,vivado_routed,52939,1303680,4.06,66483,2607360,2.55,86,2016,4.27,1163,9024,12.89,0,960,0,hydra_optimized/hydra/hydra_inference/solution/impl/verilog/report/hydra_inference_utilization_routed.rpt
hydra_optimized,vivado_placed,52939,1303680,4.06,65534,2607360,2.51,86,2016,4.27,1163,9024,12.89,0,960,0,hydra_optimized/hydra/hydra_inference/solution/impl/verilog/project.runs/impl_1/bd_0_wrapper_utilization_placed.rpt
hydra_optimized,hls_csynth,101221,1303680,7,161117,2607360,6,236,2016,5,1163,9024,12,0,960,0,hydra_optimized/hydra/hydra_inference/solution/syn/report/csynth.rpt
hydra_v2_apfixed,vivado_routed,29758,1303680,2.28,38055,2607360,1.46,84.5,2016,4.19,684,9024,7.58,0,960,0,hydra_optimized/build/hydra/hydra_inference/solution/impl/verilog/report/hydra_inference_utilization_routed.rpt
hydra_v2_apfixed,vivado_placed,29758,1303680,2.28,38055,2607360,1.46,84.5,2016,4.19,684,9024,7.58,0,960,0,hydra_optimized/build/hydra/hydra_inference/solution/impl/verilog/project.runs/impl_1/bd_0_wrapper_utilization_placed.rpt
hydra_v2_apfixed,hls_csynth,59572,1303680,4,89833,2607360,3,236,2016,5,683,9024,7,0,960,0,hydra_optimized/_x.hw.u16_fixed/link/sys_link/iprepo/temp/xo0/hydra_inference/hls/hydra_inference/solution/syn/report/csynth.rpt
modular_baseline_classifier,hls_csynth,9592,1303680,0,10553,2607360,0,78,2016,1,10,9024,0,0,960,0,minirocket_modular/_x.hw.xilinx_u280_gen3x16_xdma_1_202211_1/classifier/classifier/classifier/classifier/solution/syn/report/csynth.rpt
modular_baseline_fe,hls_csynth,2459419,1303680,188,2381999,2607360,91,28,2016,0,18,9024,0,0,960,0,minirocket_modular/_x_fixed84/feature_extraction/feature_extraction_fixed84/feature_extraction/feature_extraction/solution/syn/report/csynth.rpt
modular_baseline_scaler,hls_csynth,5338,1303680,0,4324,2607360,0,4,2016,0,5,9024,0,0,960,0,minirocket_modular/_x.hw.xilinx_u280_gen3x16_xdma_1_202211_1/scaler/scaler/scaler/scaler/solution/syn/report/csynth.rpt
modular_fused_1cu,hls_csynth,57090,1303680,4,94283,2607360,3,185,2016,4,724,9024,8,0,960,0,minirocket_modular/_x_fused2/feature_extraction/feature_extraction_fused2/feature_extraction/feature_extraction/solution/syn/report/csynth.rpt
modular_fused_3cu,hls_csynth,92703,1303680,7,159086,2607360,6,428,2016,10,1264,9024,14,0,960,0,minirocket_modular/_x.hw.fused_3cu/feature_extraction/feature_extraction_fused3/feature_extraction/feature_extraction/solution/syn/report/csynth.rpt
modular_v16,hls_csynth,94866,1303680,7,60112,2607360,2,60,2016,1,16,9024,0,0,960,0,minirocket_modular/_x_v16/feature_extraction/feature_extraction_v16/feature_extraction/feature_extraction/solution/syn/report/csynth.rpt
modular_v16_fixed,hls_csynth,48812,1303680,3,88492,2607360,3,576,2016,14,724,9024,8,0,960,0,minirocket_modular/_x_v16_fixed/feature_extraction/feature_extraction_v16_fixed/feature_extraction/feature_extraction/solution/syn/report/csynth.rpt
multirocket_optimized,hls_csynth,26386,1303680,2,20382,2607360,0,177,2016,4,25,9024,0,2,960,0,multirocket_optimized/build/build_hw/temp/link/sys_link/iprepo/temp/xo0/multirocket_inference/hls/multirocket_hls_prj/solution1/syn/report/csynth.rpt
reference_1to1,hls_csynth,27713,1303680,2,20822,2607360,0,231,2016,5,17,9024,0,0,960,0,reference_1to1/build/src/krnl_top_prj/solution1/syn/report/csynth.rpt
stream_inference,hls_csynth,245534,1303680,18,569066,2607360,21,184,2016,4,19,9024,0,0,960,0,minirocket_stream/build/minirocket/minirocket_inference_prj/solution1/syn/report/csynth.rpt
