Algorithm,Dataset,TS_Length,Test_Samples,Platform,Config,Clock_MHz,Accuracy_Pct,Throughput_InfPerSec,Speedup_vs_CPP,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,LUT_Pct,FF_Pct,BRAM_Pct,DSP_Pct,Source
MiniRocket,InsectSound,600,25000,CPU (Python aeon),single-thread batch,,78.84,519.9,,1.924,,,,,,,,,,"cpu/minirocket_cpu_insectsound.log (batch: total_time/N, NOT per-sample)"
MiniRocket,FruitFlies,5000,17259,CPU (Python aeon),single-thread batch,,96.98,39.4,,25.400,,,,,,,,,,cpu/minirocket_cpu_fruitflies.log
MiniRocket,MosquitoSound,3750,139786,CPU (Python aeon),single-thread batch,,87.59,82.1,,12.181,,,,,,,,,,cpu/minirocket_cpu_mosquitosound.log
MiniRocket,InsectSound,600,25000,CPU (C++ -O3),per-sample,,74.12,288.9,1.0x,3.461,3.399,3.909,4.005,3.292,12.301,,,,,"results/MiniRocket_CPU_cpp_InsectSound_per_sample.csv (NOTE: uses exported model, accuracy matches FPGA not Python)"
MiniRocket,FruitFlies,5000,17259,CPU (C++ -O3),per-sample,,95.83,258.2,1.0x,3.874,3.916,4.281,4.514,3.489,26.959,,,,,results/MiniRocket_CPU_cpp_FruitFlies_per_sample.csv
MiniRocket,MosquitoSound,3750,6000,CPU (C++ -O3),per-sample,,87.87,48.0,1.0x,20.835,20.588,22.099,24.224,19.659,42.147,,,,,results/MiniRocket_CPU_cpp_MosquitoSound_per_sample.csv
MiniRocket,InsectSound,600,25000,FPGA U280 (fused 1CU),300MHz,300,74.12,1966.8,6.8x,0.630,0.619,0.763,0.823,0.504,2.515,4,3,4,8,minirocket_modular/fused_insectsound_test.log
MiniRocket,FruitFlies,5000,17259,FPGA U280 (fused 1CU),300MHz,300,95.82,742.3,2.9x,1.491,1.488,1.607,1.655,1.311,3.156,4,3,4,8,minirocket_modular/fused_fruitflies_test.log
MiniRocket,MosquitoSound,3750,6000,FPGA U280 (fused 1CU),300MHz,300,87.88,937.0,19.5x,1.214,1.206,1.357,1.441,1.041,4.097,4,3,4,8,minirocket_modular/fused_mosquitosound_test.log
MiniRocket,GunPoint,150,60,FPGA U280 (fused 1CU),300MHz,300,98.33,3797.1,,0.388,0.361,0.482,0.812,0.311,0.995,4,3,4,8,minirocket_modular/fused_gunpoint_test.log
MiniRocket,InsectSound,600,25000,FPGA U280 (fused 2CU),300MHz,300,74.12,3191.1,11.0x,0.313,,,,,,4,3,8,8,minirocket_modular/fused_2cu_insectsound_test.log
MiniRocket,FruitFlies,5000,17259,FPGA U280 (fused 2CU),300MHz,300,95.82,1121.4,4.3x,0.892,,,,,,4,3,8,8,minirocket_modular/fused_2cu_fruitflies_test.log
MiniRocket,MosquitoSound,3750,6000,FPGA U280 (fused 2CU),300MHz,300,87.88,1496.9,31.2x,0.668,,,,,,4,3,8,8,minirocket_modular/fused_2cu_mosquitosound_test.log
MiniRocket,GunPoint,150,60,FPGA U280 (fused 2CU),300MHz,300,98.33,5999.1,,0.167,,,,,,4,3,8,8,minirocket_modular/fused_2cu_gunpoint_test.log
MiniRocket,InsectSound,600,25000,FPGA U280 (fused 3CU),269MHz,269,74.12,5012.2,17.3x,0.200,,,,,,7,6,10,14,minirocket_modular/fused_3cu_insectsound_test.log
MiniRocket,FruitFlies,5000,17259,FPGA U280 (fused 3CU),269MHz,269,95.82,2190.7,8.5x,0.456,,,,,,7,6,10,14,minirocket_modular/fused_3cu_fruitflies_test.log
MiniRocket,MosquitoSound,3750,6000,FPGA U280 (fused 3CU),269MHz,269,87.88,2819.6,58.7x,0.355,,,,,,7,6,10,14,minirocket_modular/fused_3cu_mosquitosound_test.log
MiniRocket,GunPoint,150,60,FPGA U280 (fused 3CU),269MHz,269,98.33,9585.0,,0.104,,,,,,7,6,10,14,minirocket_modular/fused_3cu_gunpoint_test.log
HYDRA,InsectSound,600,1000,FPGA U280 (v2 1CU),ap_fixed UNROLL=16,280,71.00,6347.0,,0.158,,,,,,2.28,1.46,4.19,7.58,hydra_v2_insectsound_test.log
HYDRA,MosquitoSound,3750,1000,FPGA U280 (v2 1CU),ap_fixed UNROLL=16,280,72.80,1994.0,,0.502,,,,,,2.28,1.46,4.19,7.58,hydra_v2_mosquitosound_test.log
HYDRA,FruitFlies,5000,1000,FPGA U280 (v2 1CU),ap_fixed UNROLL=16,280,88.10,1561.0,,0.641,,,,,,2.28,1.46,4.19,7.58,hydra_v2_fruitflies_test.log
HYDRA,InsectSound,600,25000,CPU (custom Python),single-thread,,,91.5,,10.924,,,,,,,,,,hydra_optimized/models/cpu_benchmark_results.json
HYDRA,MosquitoSound,3750,139786,CPU (custom Python),single-thread,,,43.1,,23.191,,,,,,,,,,hydra_optimized/models/cpu_benchmark_results.json
HYDRA,FruitFlies,5000,17259,CPU (custom Python),single-thread,,,35.0,,28.597,,,,,,,,,,hydra_optimized/models/cpu_benchmark_results.json
